Timestamp,Filename,Violation Type,Confidence
20250506_200307,20250506_200307_20250506_200305_no-vest_conf0.76.jpg,no-vest,0.7631264925003052
20250506_200309,20250506_200309_20250506_200307_no-helm_conf0.78.jpg,no-helm,0.7756707668304443
20250506_200311,20250506_200311_20250506_200309_no-vest_conf0.78.jpg,no-vest,0.7808902263641357
20250506_200313,20250506_200313_20250506_200311_no-vest_conf0.57.jpg,no-vest,0.5685492157936096
20250506_200315,20250506_200315_20250506_200313_no-helm_conf0.84.jpg,no-helm,0.8420529365539551
20250506_200448,20250506_200448_20250506_200446_no-helm_conf0.62.jpg,no-helm,0.6238452792167664
20250506_200450,20250506_200450_20250506_200448_no-helm_conf0.76.jpg,no-helm,0.7590644955635071
20250506_200452,20250506_200452_20250506_200450_no-helm_conf0.65.jpg,no-helm,0.6455745100975037
20250506_200455,20250506_200455_20250506_200453_no-helm_conf0.63.jpg,no-helm,0.6322692036628723
20250506_200457,20250506_200457_20250506_200455_no-vest_conf0.80.jpg,no-vest,0.7968942523002625
20250506_200500,20250506_200500_20250506_200458_no-vest_conf0.50.jpg,no-vest,0.5031661987304688
20250506_200503,20250506_200503_20250506_200501_no-helm_conf0.51.jpg,no-helm,0.5093145966529846
20250506_200507,20250506_200507_20250506_200505_no-helm_conf0.57.jpg,no-helm,0.5713319778442383
20250506_200509,20250506_200509_20250506_200507_no-helm_conf0.53.jpg,no-helm,0.5307557582855225
20250506_200518,20250506_200518_20250506_200516_no-helm_conf0.55.jpg,no-helm,0.5450417995452881
20250506_200520,20250506_200520_20250506_200518_no-helm_conf0.69.jpg,no-helm,0.6884362697601318
20250506_200522,20250506_200522_20250506_200520_no-vest_conf0.76.jpg,no-vest,0.7612070441246033
20250506_200524,20250506_200524_20250506_200522_no-helm_conf0.54.jpg,no-helm,0.5381314158439636
20250506_200527,20250506_200527_20250506_200525_no-helm_conf0.59.jpg,no-helm,0.5927204489707947
20250506_200529,20250506_200529_20250506_200527_no-vest_conf0.51.jpg,no-vest,0.5136350393295288
20250506_200531,20250506_200531_20250506_200529_no-vest_conf0.55.jpg,no-vest,0.5523555874824524
20250506_200537,20250506_200537_20250506_200535_no-vest_conf0.52.jpg,no-vest,0.515453040599823
20250506_200539,20250506_200539_20250506_200537_no-helm_conf0.55.jpg,no-helm,0.5464826226234436
20250506_200541,20250506_200541_20250506_200539_no-helm_conf0.87.jpg,no-helm,0.8651478886604309
20250506_200544,20250506_200544_20250506_200542_no-helm_conf0.91.jpg,no-helm,0.9062457084655762
20250506_200546,20250506_200546_20250506_200544_no-helm_conf0.88.jpg,no-helm,0.8829001188278198
20250506_200548,20250506_200548_20250506_200546_no-helm_conf0.90.jpg,no-helm,0.9006687998771667
20250506_200550,20250506_200550_20250506_200548_no-helm_conf0.90.jpg,no-helm,0.9006760120391846
20250506_200552,20250506_200552_20250506_200550_no-helm_conf0.94.jpg,no-helm,0.9381327033042908
20250506_200554,20250506_200554_20250506_200552_no-helm_conf0.87.jpg,no-helm,0.8714051842689514
20250506_200556,20250506_200556_20250506_200554_no-helm_conf0.85.jpg,no-helm,0.8505783677101135
20250506_200559,20250506_200559_20250506_200557_no-helm_conf0.69.jpg,no-helm,0.6946367621421814
20250506_200601,20250506_200601_20250506_200559_no-helm_conf0.60.jpg,no-helm,0.6025587320327759
20250506_200603,20250506_200603_20250506_200601_no-helm_conf0.57.jpg,no-helm,0.5663151741027832
20250506_200837,20250506_200837_20250506_200835_no-helm_conf0.51.jpg,no-helm,0.5093468427658081
20250506_200839,20250506_200839_20250506_200837_no-helm_conf0.69.jpg,no-helm,0.6949727535247803
20250506_200841,20250506_200841_20250506_200839_no-helm_conf0.50.jpg,no-helm,0.5004457831382751
20250506_200844,20250506_200844_20250506_200842_no-helm_conf0.51.jpg,no-helm,0.5124892592430115
20250506_200846,20250506_200846_20250506_200844_no-helm_conf0.60.jpg,no-helm,0.597015917301178
20250506_200850,20250506_200850_20250506_200848_no-vest_conf0.59.jpg,no-vest,0.5933824181556702
20250506_200852,20250506_200852_20250506_200850_no-helm_conf0.75.jpg,no-helm,0.752345085144043
20250506_200854,20250506_200854_20250506_200852_no-helm_conf0.57.jpg,no-helm,0.5734138488769531
20250506_200902,20250506_200902_20250506_200900_no-vest_conf0.51.jpg,no-vest,0.5109469294548035
20250506_200904,20250506_200904_20250506_200902_no-vest_conf0.59.jpg,no-vest,0.587724506855011
20250506_200906,20250506_200906_20250506_200904_no-helm_conf0.95.jpg,no-helm,0.9508081078529358
20250506_200908,20250506_200908_20250506_200906_no-helm_conf0.71.jpg,no-helm,0.7126597166061401
20250506_200910,20250506_200910_20250506_200908_no-vest_conf0.59.jpg,no-vest,0.5868198275566101
20250506_200913,20250506_200913_20250506_200911_no-helm_conf0.79.jpg,no-helm,0.7856238484382629
